index,word
",",34
.,33
I,20
the,18
"

",18
a,15
to,15
my,13
and,12
“,12
”,12
"""",12
is,9
he,9
you,8
said,8
of,8
He,8
shelter,7
his,7
in,7
with,7
but,7
Bruno,6
foster,6
at,6
was,6
on,6
like,5
also,5
’s,5
be,5
water,5
has,5
do,4
while,4
home,4
him,4
if,4
family,4
for,4
cat,4
who,4
she,4
me,4
so,4
or,3
put,3
weight,3
-,3
much,3
that,3
can,3
more,3
been,3
when,3
pets,3
food,3
by,2
around,2
would,2
about,2
usually,2
want,2
down,2
did,2
up,2
they,2
little,2
getting,2
not,2
have,2
eats,2
prefer,2
pet,2
because,2
drink,2
old,2
hind,2
Ellison,2
am,2
playing,2
are,2
n’t,2
well,2
know,2
This,2
will,2
parents,2
adoption,2
never,2
going,2
since,2
day,2
sure,2
standing,2
wrote,2
only,2
The,2
an,2
it,2
legs,2
this,2
room,2
still,2
stop,1
hydrated,1
If,1
meet,1
toys,1
shows,1
spine,1
realize,1
kids,1
Way,1
They,1
perhaps,1
their,1
furry,1
eat,1
thriving,1
starting,1
currently,1
house,1
continue,1
scratch,1
Not,1
weekend,1
face,1
active,1
spent,1
stare,1
from,1
boy,1
Potential,1
Illinois,1
!,1
took,1
found,1
now,1
bed,1
meow,1
?,1
eating,1
bite,1
rather,1
awesome,1
multiple,1
loss,1
:,1
Wright,1
hobbies,1
sides,1
April,1
meaning,1
journey,1
care,1
other,1
head,1
bowls,1
Grove,1
too,1
strange,1
completely,1
bowl,1
boss,1
touch,1
least,1
shower,1
give,1
larger,1
works,1
drinks,1
young,1
toes,1
Besides,1
importance,1
loves,1
scratchers,1
swat,1
some,1
told,1
Center,1
kitchen,1
love,1
learned,1
When,1
BuzzFeed,1
doubt,1
tummy,1
lay,1
News,1
neck,1
enough,1
different,1
though,1
tricks,1
teach,1
Video,1
lying,1
become,1
adopters,1
fresh,1
floor,1
),1
Morton,1
meowing,1
few,1
Soon,1
likes,1
Erin,1
pretend,1
walking,1
n't,1
happens,1
once,1
no,1
live,1
Yes,1
petted,1
11,1
"
",1
doing,1
end,1
lot,1
had,1
far,1
feather,1
toy,1
apparently,1
7-year,1
out,1
mom,1
trim,1
man,1
's,1
lap,1
tempting,1
understood,1
occasionally,1
EXTRA,1
time,1
affection,1
what,1
diet,1
losses,1
top,1
just,1
It,1
how,1
next,1
needed,1
particular,1
habit,1
given,1
maybe,1
hand,1
loosing,1
help,1
really,1
Adoption,1
25-pound,1
loved,1
making,1
very,1
normal,1
most,1
simple,1
No,1
great,1
sleep,1
(,1
may,1
big,1
gains,1
polydactyl,1
purring,1
staying,1
Rescue,1
wand,1
meshing,1
Facebook,1
extra,1
where,1
former,1
right,1
laying,1
lose,1
